,LightGBM baseline (NB04),LightGBM optimisé (NB05),Gain
ROC-AUC,0.6448807567728942,0.6656426238004787,0.020761867027584424
PR-AUC,0.1766069979327966,0.1840328343737412,0.007425836440944605
Recall,0.4390243902439024,0.2926829268292683,-0.1463414634146341
Precision,0.1589861751152073,0.1985611510791367,0.03957497596392939
F2-Score,0.3246549560853199,0.2673382409918636,-0.057316715093456316
Brier Score,0.182453302375384,0.16054297684314017,-0.02191032553224384
