Modèle,ROC-AUC,PR-AUC,Recall,Precision,F2-Score,Brier Score,Accuracy,Temps (s)
Logistic Regression,0.6667721007972485,0.17839486716094535,0.5694591728525981,0.1468416735028712,0.3614214564544353,0.22769431556268183,0.6641265002857687,1.4340691566467285
LightGBM,0.6448807567728942,0.1766069979327966,0.43902439024390244,0.15898617511520738,0.32465495608531997,0.182453302375384,0.7409982853876929,1.4876458644866943
XGBoost,0.6449942926840366,0.173684273832518,0.46553552492046657,0.14570195818121473,0.3235077376565954,0.1963457614183426,0.7068012954848543,2.249398946762085
Random Forest,0.6529533487267164,0.17042181967203363,0.019088016967126194,0.33962264150943394,0.023529411764705882,0.08966362878643551,0.9085540102876738,2.4729387760162354
