feature,importance_shap
cat__discharge_disposition_id_16,0.0
cat__discharge_disposition_id_24,0.0
cat__discharge_disposition_id_27,0.0
cat__discharge_disposition_id_9,0.0
cat__admission_source_id_22,0.0
cat__admission_source_id_8,0.0
cat__admission_source_id_25,0.0
cat__medical_specialty_Dermatology,0.0
cat__medical_specialty_Gynecology,0.0
cat__medical_specialty_Hematology,0.0
cat__medical_specialty_Osteopath,0.0
cat__medical_specialty_Ophthalmology,0.0
cat__medical_specialty_Obstetrics,0.0
cat__medical_specialty_Hospitalist,0.0
cat__medical_specialty_InfectiousDiseases,0.0
cat__medical_specialty_Neurology,0.0
cat__medical_specialty_SportsMedicine,0.0
cat__medical_specialty_Surgeon,0.0
cat__medical_specialty_Surgery-Plastic,0.0
cat__medical_specialty_Surgery-Pediatric,0.0
cat__medical_specialty_Surgery-Maxillofacial,0.0
cat__medical_specialty_Surgery-Colon&Rectal,0.0
cat__medical_specialty_Rheumatology,0.0
cat__medical_specialty_Speech,0.0
cat__medical_specialty_Psychiatry-Addictive,0.0
cat__medical_specialty_Psychiatry-Child/Adolescent,0.0
cat__medical_specialty_OutreachServices,0.0
cat__medical_specialty_Pediatrics-Hematology-Oncology,0.0
cat__medical_specialty_Pediatrics-EmergencyMedicine,0.0
cat__medical_specialty_Pediatrics-CriticalCare,0.0
cat__medical_specialty_Pathology,0.0
cat__medical_specialty_PhysicalMedicineandRehabilitation,0.0
cat__medical_specialty_Pediatrics-Pulmonology,0.0
cat__medical_specialty_Pediatrics-Neurology,0.0
cat__medical_specialty_Radiology,0.0
cat__medical_specialty_Pulmonology,0.0
cat__medical_specialty_Psychology,0.0
cat__medical_specialty_Perinatology,0.0
cat__medical_specialty_PhysicianNotFound,0.0
cat__medical_specialty_Podiatry,0.0
cat__medical_specialty_SurgicalSpecialty,0.0
cat__medical_specialty_Surgery-Thoracic,0.0
